,id,device_id,active_power,direct_power,charge_capacity,T,U,Ff,RRR,DD_WE,DD_NS,Po(p),POA,cc_diff,active_power_b,T_b,U_b,Ff_b,RRR_b,DD_WE_b,DD_NS_b,Po(p)_b,POA_b,hour
136,23274,7,9.55,9.89,547.7,30.3,71.0,3.0,0.0,1,-1,998.77,124.61,121.9,69.48,32.7,63.0,3.0,0.0,1.0,-1.0,998.37,798.73,17
137,23275,8,6.31,6.56,543.6,30.3,71.0,3.0,0.0,1,-1,998.77,124.61,114.3,69.72,32.7,63.0,3.0,0.0,1.0,-1.0,998.37,798.73,17
138,23276,9,6.76,7.29,603.5,30.3,71.0,3.0,0.0,1,-1,998.77,124.61,123.5,72.84,32.7,63.0,3.0,0.0,1.0,-1.0,998.37,798.73,17
139,23277,10,14.79,15.09,514.0,30.3,71.0,3.0,0.0,1,-1,998.77,124.61,129.3,67.59,32.7,63.0,3.0,0.0,1.0,-1.0,998.37,798.73,17
140,23363,6,0.0,0.0,544.2,28.7,77.0,2.0,0.0,1,-1,1000.62,0.0,3.9,8.73,30.3,71.0,3.0,0.0,1.0,-1.0,998.77,124.61,20
141,23364,7,0.0,0.0,551.5,28.7,77.0,2.0,0.0,1,-1,1000.62,0.0,3.8,9.55,30.3,71.0,3.0,0.0,1.0,-1.0,998.77,124.61,20
142,23365,8,0.0,0.0,546.5,28.7,77.0,2.0,0.0,1,-1,1000.62,0.0,2.9,6.31,30.3,71.0,3.0,0.0,1.0,-1.0,998.77,124.61,20
143,23366,9,0.0,0.0,607.1,28.7,77.0,2.0,0.0,1,-1,1000.62,0.0,3.6,6.76,30.3,71.0,3.0,0.0,1.0,-1.0,998.77,124.61,20
144,23367,10,0.0,0.0,520.3,28.7,77.0,2.0,0.0,1,-1,1000.62,0.0,6.3,14.79,30.3,71.0,3.0,0.0,1.0,-1.0,998.77,124.61,20
150,23723,6,39.26,39.82,32.8,28.0,81.0,1.0,0.0,-1,0,1001.02,445.97,32.8,0.0,25.8,92.0,2.0,0.0,-1.0,0.0,999.3,0.0,8
151,23724,7,40.15,40.73,34.0,28.0,81.0,1.0,0.0,-1,0,1001.02,445.97,34.0,0.0,25.8,92.0,2.0,0.0,-1.0,0.0,999.3,0.0,8
152,23725,8,40.35,40.94,34.7,28.0,81.0,1.0,0.0,-1,0,1001.02,445.97,34.7,0.0,25.8,92.0,2.0,0.0,-1.0,0.0,999.3,0.0,8
153,23726,9,50.75,51.48,47.9,28.0,81.0,1.0,0.0,-1,0,1001.02,445.97,47.9,0.0,25.8,92.0,2.0,0.0,-1.0,0.0,999.3,0.0,8
154,23727,10,31.14,31.59,24.5,28.0,81.0,1.0,0.0,-1,0,1001.02,445.97,24.5,0.0,25.8,92.0,2.0,0.0,-1.0,0.0,999.3,0.0,8
155,23813,6,83.9,85.35,221.0,32.4,60.0,2.0,0.0,1,-1,1000.62,946.81,188.2,39.26,28.0,81.0,1.0,0.0,-1.0,0.0,1001.02,445.97,11
156,23814,7,84.94,86.38,224.5,32.4,60.0,2.0,0.0,1,-1,1000.62,946.81,190.5,40.15,28.0,81.0,1.0,0.0,-1.0,0.0,1001.02,445.97,11
